"Productos por proveedor"
"Proveedor","descripcion","cantidad","Precio coste","Total coste","pvp","total pvp",
"Biobardales -Comercial Beldrea","Chorizo barbacoa -Biobardales- 300 gramos","15,48","2,25","34,83","3,45","54,43",
"Biobardales -Comercial Beldrea","Chorizo extra lonchas -Biobardales- 100 gramos","1,00","2,10","2,10","3,30","3,30",
"Biobardales -Comercial Beldrea","Chorizo extra taco -Biobardales- 400 gramos","2,12","5,16","10,94","7,95","16,85",
"Biobardales -Comercial Beldrea","Chorizo Sarta Dulce-300 g-Biobardales","15,25","3,57","54,44","5,50","84,09",
"Biobardales -Comercial Beldrea","Chorizo sarta picante -Biobardales- 300 gramos","8,13","3,57","29,01","5,50","44,90",
"Biobardales -Comercial Beldrea","Chuleta de aguja de Cerdo -paq. 500 gr aprox- Biobardales - precio 500 gr","21,64","3,35","72,49","5,35","115,79",
"Biobardales -Comercial Beldrea","Chuleta de lomo de cerdo - paq. 500 gr aprox- Biobardales - precio 500 gr","18,78","3,98","74,74","6,35","119,24",
"Biobardales -Comercial Beldrea","Costillas  -   paq. 500 gr aprox - Biobardales - precio 500 gr","16,62","3,33","55,34","5,30","88,07",
"Biobardales -Comercial Beldrea","Crema de chorizo -Biobardales-  100 gramos","1,00","2,30","2,30","3,60","3,60",
"Biobardales -Comercial Beldrea","Crema de jamon serrano -Biobardales- 100 gramos","2,00","2,30","4,60","3,60","7,20",
"Biobardales -Comercial Beldrea","Filetes de jamon - paq. 500 gr aprox - Biobardales - precio 500 gr","4,45","5,48","24,39","8,75","37,20",
"Biobardales -Comercial Beldrea","Fuet extra -Biobardales-  200 gramos","6,00","3,10","18,60","4,95","29,70",
"Biobardales -Comercial Beldrea","Huesos codillo de jamon-Biobardales- precio paquete 300 gramos","39,96","0,96","38,36","1,40","56,66",
"Biobardales -Comercial Beldrea","Jamon loncheado -Biobardales- 100 gramos","1,00","4,20","4,20","6,55","6,55",
"Biobardales -Comercial Beldrea","Lomo extra lonchas -Biobardales- 100 gramos","3,00","3,30","9,90","5,10","15,30",
"Biobardales -Comercial Beldrea","Lomo extra taco -Biobardales- 400 gramos","4,56","9,56","43,59","15,00","68,40",
"Biobardales -Comercial Beldrea","Magro trozos- paq. 500 gr aprox - Biobardales - precio 500 gr","8,23","4,78","39,34","7,60","62,54",
"Biobardales -Comercial Beldrea","Mano - paq. 500 gr aprox - Biobardales - precio 500 gr","0,92","2,30","2,12","3,70","3,40",
"Biobardales -Comercial Beldrea","Oreja de cerdo - paq. 500 gr aprox - Biobardales - precio 500 gr","2,00","2,30","4,60","3,70","7,40",
"Biobardales -Comercial Beldrea","Panceta fresca - paq. 500 gr aprox - Biobardales - precio 500 gr","3,12","3,33","10,39","5,30","16,54",
"Biobardales -Comercial Beldrea","Pata de cerdo fresca, 3 a 4 kg-Biobardales-Precio Kilo","4,06","6,70","27,20","8,95","36,34",
"Biobardales -Comercial Beldrea","Pate de finas hierbas -Biobardales- 100 gramos","1,00","2,30","2,30","3,60","3,60",
"Biobardales -Comercial Beldrea","Pate de pimienta negra -Biobardales-100 gramos","1,00","2,30","2,30","3,60","3,60",
"Biobardales -Comercial Beldrea","Preparado Legumbres (chorizo/morcilla/panceta)-Biobardales-Precio paquete 300 gramos","13,00","2,70","35,10","4,15","53,95",
"Biobardales -Comercial Beldrea","Presa - Biobardales - 500 gr","11,86","6,45","76,50","10,30","122,16",
"Biobardales -Comercial Beldrea","Rabo - paq. 500 gr aprox - Biobardales - precio 500 gr","1,57","2,30","3,61","3,70","5,81",
"Biobardales -Comercial Beldrea","Salchichon extra lonchas -Biobardales- 100 gramos","1,00","2,10","2,10","3,30","3,30",
"Biobardales -Comercial Beldrea","Salchichon extra taco -Biobardales-  400 gramos","4,00","5,16","20,64","7,95","31,80",
"Biobardales -Comercial Beldrea","Secreto - Biobardales - 500 gr","9,66","5,95","57,48","9,50","91,75",
"Biobardales -Comercial Beldrea","Sobrasada extra 3 medallones -Biobardales- 100 gramos","3,00","1,55","4,65","2,40","7,30",
"Biobardales -Comercial Beldrea","Sobrasada extra taco -Biobardales- 300 gramos","1,00","2,25","2,25","3,45","3,45",
"Biobardales -Comercial Beldrea","Solomillo de cerdo - paq. 500 gr aprox - Biobardales - precio 500 gr","5,29","7,35","38,88","11,70","61,89",
,,,,"Total:872,70",,"Total:1 361,17",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Alubias blancas - Biogra - 500gr","11,00","1,52","16,72","2,30","25,30",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Alubias pintas-Biogra-500g","5,43","1,80","9,77","2,55","13,56",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Alubias rojas kidney-Biogra-500g","9,00","1,97","17,73","2,90","26,21",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Arroz basmati integral - Biogra - 500gr","4,00","1,91","7,64","2,90","11,60",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Arroz jazmin integral - Biogra - 500gr","5,00","2,18","10,90","3,30","16,50",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Bolitas de Maiz miel-Biogra-250g","6,00","1,99","11,94","2,60","15,60",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Bolitas Maiz chocolate-Biogra-250g","3,00","2,03","6,09","3,10","9,30",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Bulgur fino-Biogra-500g","1,00","1,57","1,57","2,50","2,50",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Chips de Garbanzo - Biogra - 80gr","14,00","1,43","20,02","2,15","30,10",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Cirulax Bio (salvado+lino+ciruela)-Biogra-250g","3,00","1,82","5,45","3,65","10,95",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Copos 4 cereales-Biogra-500g","1,00","1,33","1,33","2,10","2,10",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Crispitos de cacao-Biogra-250g","2,00","1,99","3,98","3,10","6,20",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Datiles sin hueso-Biogra-230g","3,00","2,43","7,29","3,65","10,95",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Espagueti pasta con verduras-Biogra-250g","4,00","1,31","5,24","2,05","8,20",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Espirales verduras-Biogra-250g","5,00","1,31","6,55","2,00","9,94",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Fideo fino verduras-Biogra-250g","10,00","1,31","13,10","2,00","20,10",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Gomasio natural-Biogra-120g-cristal","1,00","1,69","1,69","2,75","2,75",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Hamburguesa  seitan queso cabra, mango, higo - Biogra (2ud)","3,00","2,53","7,59","3,80","11,40",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Hamburguesa Azuki y Canamo - Biogra - 2ud","10,00","2,23","22,30","3,75","36,56",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Hamburguesa barbacoa/ seitan - BBQ - Biogra (2ud)","6,00","2,23","13,38","3,30","18,15",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Hamburguesa de Kale y Quinoa - Biogra - 2ud","8,00","2,23","17,84","3,35","25,96",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Hamburguesa Lenteja roja y Chia - Biogra - 2ud","4,00","2,23","8,92","3,35","13,40",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Hummus berenjena-Biogra-240g","15,00","2,64","39,60","3,85","55,83",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Hummus olivas de Aragon-Biogra-240g","7,00","2,64","18,48","3,95","26,71",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Hummus tradicional-Biogra-240g","9,00","2,42","21,78","3,70","31,46",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Maiz grano palomitas-Biogra-500g","6,00","1,78","10,68","3,05","17,54",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Mezcla de arroces salvajes - Biogra - 400gr","11,00","1,92","21,15","3,50","38,50",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Mijo pelado- Biogra- 500 gr","4,50","1,54","6,93","2,55","11,16",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Nachos de Maiz - Biogra - 110g","16,00","1,13","18,08","1,70","27,20",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Pasas sultanas-Biogra-250g","5,00","1,92","9,62","3,50","17,50",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Pasta Maravilla-lluvia verduras-Biogra-250g","5,00","1,31","6,55","2,00","10,00",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Pasta Maravilla-Lluvia-Integral-Biogra-250g","7,00","1,09","7,63","1,65","11,55",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Pizza Espinacas, Pinones y Seitan-Biogra-300 g","2,00","2,73","5,45","6,25","12,50",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Pizza Margarita - Biogra - 275gr","6,00","2,73","16,36","4,90","29,54",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Pizza Setas-Biogra-300 g","5,00","3,69","18,45","6,50","32,15",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Pizza Vegana - Biogra 300gr","5,00","3,37","16,85","5,30","26,50",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Pizza Verduras y Tofu-Biogra-315 g","6,00","2,73","16,36","5,75","34,09",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Sal marina con Algas-Biogra-225g","3,00","2,19","6,57","3,50","10,50",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Sal marina Finas Hierbas-Biogra-225g","2,00","1,82","3,64","3,50","7,00",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Seitan Fresco Natural-Biogra-300 g","4,00","2,62","10,48","4,40","17,60",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Semillas mezcla-Biogra-200g","11,00","0,91","10,00","2,80","30,80",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Sopa Miso Rojo alga Wakame-Biogra-40g","1,00","1,82","1,82","3,50","3,50",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Sopa Miso Rojo con verduras-Biogra-40g","3,00","1,82","5,45","3,25","9,75",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Sopa Miso rojo shitake Setas silvestres -Biogra-40 g","2,00","2,29","4,58","3,25","6,50",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Tortas de Arroz y Quinoa-Biogra-100 g","2,00","0,90","1,80","2,30","4,60",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Tortas de Arroz y Sesamo-Biogra-100g","1,00","1,67","1,67","2,65","2,65",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Tortas de arroz-Biogra-100 g","5,00","0,74","3,70","1,95","9,75",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Vistteca Cebolla Sesamo-Biogra-90g","1,00","0,91","0,91","1,85","1,85",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Vistteca Cebolla Tomate-Biogra-90g","1,00","0,91","0,91","1,85","1,85",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Vistteca Cereales y Semillas-Biogra-90g","3,00","0,91","2,73","1,65","4,95",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Vistteca Espinacas y Gorgonzola-Biogra-90g","2,00","1,37","2,74","1,95","3,90",
"BIOGRA-SORRIBAS,S.A. P. DIET Y REG.","Vistteca Quinoa y Verduras-Biogra-90g","2,00","1,37","2,74","1,95","3,90",
,,,,"Total:510,76",,"Total:828,66",
"Biogran (El granero)","Aceite de lino - El Granero - 500ml","1,00","6,14","6,14","9,80","9,80",
"Biogran (El granero)","Avena en grano - El Granero - 500gr","1,00","1,59","1,59","2,40","2,40",
"Biogran (El granero)","Colestrol (Chufa y brocoli) - El Granero - 200gr","1,00","6,75","6,75","10,75","10,75",
"Biogran (El granero)","Curcuma Ayurveda 100gr - El Granero -","8,00","3,90","31,20","6,82","54,56",
"Biogran (El granero)","Detox (chorella y spirulina) - El Granero - 200gr","1,00","9,55","9,55","17,45","17,45",
"Biogran (El granero)","Espaguetis de maiz y arroz SIN GLUTEN - El Granero- 500 gr","2,00","2,39","4,78","3,80","7,60",
"Biogran (El granero)","Inmunox (shiitake, maitake, reishi, camu camu) - El Granero - 150gr","0,25","13,69","3,42","21,80","5,45",
"Biogran (El granero)","Maca - El granero - 200gr","1,00","4,75","4,75","10,84","10,84",
"Biogran (El granero)","Macarrones de maiz y arroz SIN GLUTEN -El Granero- 500 gr","1,00","2,39","2,39","3,80","3,80",
"Biogran (El granero)","Panales Pingo T3  4-9kg  44uds - El Granero -","1,00","10,10","10,10","17,70","13,28",
"Biogran (El granero)","Pate Berenjena asada 125gr - granovita  -","1,00","1,79","1,79","2,85","2,85",
"Biogran (El granero)","Pate de Nuez y Pesto 125gr - granovita -","2,00","1,79","3,58","2,85","5,70",
"Biogran (El granero)","Salsa tamari - El Granero - 250ml","7,00","3,70","25,90","5,90","41,30",
"Biogran (El granero)","Sesamo Negro - 250 gr - El Granero -","8,00","1,86","14,88","3,00","24,00",
"Biogran (El granero)","Sirope de Agave 700g - El Granero -","3,00","4,75","14,25","7,60","22,80",
"Biogran (El granero)","Soja texturizada gruesa 150g - El Granero -","3,00","1,24","3,72","1,95","5,85",
"Biogran (El granero)","Tempeh macerado con Tamari 170g - El Granero -","17,00","2,43","41,31","3,90","66,30",
"Biogran (El granero)","Toallitas humedas bebe Pingo 80uds - El Granero -","2,00","2,34","4,68","4,10","6,16",
"Biogran (El granero)","Tofu Fermentado al Pimiento 200gr - Taifun -","2,00","2,32","4,64","3,70","6,66",
"Biogran (El granero)","Tofu Fermentado con hierbas 200gr - Taifun -","1,00","2,32","2,32","3,70","3,15",
"Biogran (El granero)","Tofu Fermentado Natural 200gr - Taifun -","6,00","2,05","12,30","3,00","17,40",
"Biogran (El granero)","Vinagre Balsamico 250ml - El Granero -","1,00","2,80","2,80","4,45","4,45",
"Biogran (El granero)","Yogur de soja con Albaricoque  400gr - Sojade -","3,00","2,14","6,42","3,40","9,35",
"Biogran (El granero)","Yogur de soja con Arandanos  400gr - Sojade-","3,00","2,14","6,42","3,40","10,25",
"Biogran (El granero)","Yogur de Soja con Fresa 400gr - Sojade -","1,00","2,14","2,14","3,40","3,40",
"Biogran (El granero)","Yogur de Soja con Fruta de la Pasion y Frambuesa 400gr - Sojade -","2,00","2,14","4,28","3,40","6,80",
"Biogran (El granero)","Yogur de Soja con Mango y Melocoton 400gr - Sojade -","1,00","2,14","2,14","3,45","3,45",
"Biogran (El granero)","Yogur de soja natural 2x100 Sojade -","3,00","0,93","2,79","1,50","4,50",
"Biogran (El granero)","Yogur soja de Limon 400gr - Sojade -","1,00","2,14","2,14","3,40","2,55",
,,,,"Total:239,17",,"Total:382,85",
"Biogredos","Barritas de Mazapan con Arandanos 130gr - Biogredos -","4,00","3,85","15,40","6,15","24,60",
"Biogredos","Bollito de Chocolate -Biogredos","61,00","1,20","73,20","1,90","115,90",
"Biogredos","Cantos del Barranco - 150gr Biogredos","10,00","2,20","22,00","3,50","35,00",
"Biogredos","Ciruelas pasas sin hueso - biogredos - 200gr","9,00","3,00","27,00","4,80","43,20",
"Biogredos","Croisants de Espelta-bolsa 4 un- Biogredos","25,00","2,45","61,25","3,90","93,58",
"Biogredos","Galletas con Arandanos-Biogredos - 200 gr","27,00","2,00","54,00","3,20","80,80",
"Biogredos","Galletas de Almendra ( sin gluten y sin lactosa) 200gr - Biogredos","5,00","2,65","13,25","4,20","21,00",
"Biogredos","Galletas de Arroz y Nueces ( sin gluten ) 200gr - Biogredos","5,00","2,75","13,75","4,35","21,75",
"Biogredos","Galletas de canela - Biogredos - 200 gr","9,00","1,75","15,75","2,89","26,01",
"Biogredos","Galletas de copos de avena y pasas - Biogredos -  250gr","7,00","1,90","13,30","2,80","19,34",
"Biogredos","Galletas de desayuno con chocolate- Biogredos- 200 gr","23,00","1,90","43,70","3,05","68,63",
"Biogredos","Galletas de desayuno-Biogredos- 220 gr","28,00","1,90","53,20","3,05","85,40",
"Biogredos","Galletas de muesli- Biogredos- 200 gr","15,00","1,90","28,50","2,90","43,41",
"Biogredos","Galletas de salvado de avena - Biogredos - 250 gr","8,00","1,90","15,20","3,00","23,25",
"Biogredos","Galletas integrales de centeno - Biogredos - 200 gr","3,00","1,70","5,10","2,70","7,43",
"Biogredos","Galletas Integrales de Espelta -Biogredos- 200 gr","9,00","1,90","17,10","3,00","26,25",
"Biogredos","Magdalenas Veganas - Biogredos - 280 gr","7,00","2,10","14,70","3,35","23,45",
"Biogredos","Orejones de albaricoque - Biogredos - 200gr","5,00","2,60","13,00","4,20","20,58",
"Biogredos","Pan Rallado de Espelta Integral - Biogredos - 200 gr","6,00","1,42","8,52","2,20","13,20",
"Biogredos","Paneton con lagrimas de chocolate - Biogredos - 400gr","3,00","3,50","10,50","5,60","16,80",
"Biogredos","Paneton de espelta (Sin huevo)-BIOGREDOS-120 gr","3,00","1,65","4,95","2,40","5,40",
"Biogredos","Paneton-BIOGREDOS-500 gr","5,50","3,70","20,35","5,90","28,32",
"Biogredos","Picos integrales - Biogredos - 200 gr","20,00","1,35","27,00","2,15","42,46",
"Biogredos","Picos integrales con sesamo - Biogredos - 200 gr","37,00","1,35","49,95","2,15","79,01",
"Biogredos","Plum cake de albaricoques y almendras-BIOGREDOS-300 gr","5,00","3,20","16,00","5,10","22,30",
"Biogredos","Plum cake de zanahoria y nueces-BIOGREDOS-300 gr","6,00","2,93","17,58","4,72","28,32",
"Biogredos","Roscon   Sin Gluten y sin Lactosa - 300gr - Biogredos","1,00","3,90","3,90","6,20","4,96",
"Biogredos","Roscon de Reyes-BIOGREDOS-230 gr","1,00","3,00","3,00","4,80","3,84",
"Biogredos","Roscon de Reyes-BIOGREDOS-500 gr","3,00","6,00","18,00","9,60","20,64",
"Biogredos","Suizo de pasas y avellanas -Biogredos - 180 gr","3,00","1,30","3,90","2,05","6,15",
,,,,"Total:683,05",,"Total:1 050,98",
"Biogrup S.L.","Savia de Palma Canaria - Guarapo - 410gr -","4,00","8,37","33,48","13,00","49,40",
,,,,"Total:33,48",,"Total:49,40",
"Biomilanes S.L.","Acelga-Biomilanes-1 Kg","167,69","1,20","201,22","2,35","403,26",
"Biomilanes S.L.","Aguacate Bacon- Biomilanes- kg.","54,22","2,45","132,83","4,30","224,35",
"Biomilanes S.L.","Aguacate Hass -Biomilanes- 1 Kg","196,21","3,95","775,05","4,80","865,98",
"Biomilanes S.L.","Ajo - Biomilanes - 500gr","2,26","1,55","3,50","2,60","6,60",
"Biomilanes S.L.","Alcachofas-Biomilanes-1 Kg","3,50","2,40","8,40","3,95","12,64",
"Biomilanes S.L.","Apio - Biomilanes - kg","82,98","1,00","82,98","2,55","196,99",
"Biomilanes S.L.","Berenjena INVERNADERO- Biomilanes- 1 Kg","137,98","1,30","179,37","2,80","477,39",
"Biomilanes S.L.","Berenjena- Biomilanes- 1 Kg","1,06","1,25","1,33","2,80","2,97",
"Biomilanes S.L.","Boniato -Biomilanes- precio kilo","128,20","1,70","217,93","2,20","290,85",
"Biomilanes S.L.","Brocoli- Biomilanes- 1 Kg","171,36","1,70","291,31","3,15","530,18",
"Biomilanes S.L.","Calabacin INVERNADERO-Biomilanes- 1 Kg","315,83","1,20","379,00","2,90","1 136,54",
"Biomilanes S.L.","Calabacin-Biomilanes- 1 Kg","0,99","2,55","2,52","2,65","2,62",
"Biomilanes S.L.","Calabaza cacahuete-Biomilanes- PIEZA, precio Kg","191,54","1,10","210,69","1,90","360,26",
"Biomilanes S.L.","Calabaza Hokkaido - Biomilanes - Pieza precio kilo","26,61","1,00","26,61","2,20","50,26",
"Biomilanes S.L.","Cebolla Fresca - Biomilanes - Kilo","1,06","1,40","1,48","2,45","2,59",
"Biomilanes S.L.","Cebolla Seca- Biomilanes- 1 kilo","16,55","0,85","14,06","1,75","28,64",
"Biomilanes S.L.","Col lombarda- Biomilanes- precio kg","94,13","1,00","94,13","2,60","244,76",
